Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
javax.management.openmbean,TabularDataSupport,1,2.1818182,24,52.36364,20,4,7,Extender,Replacer,Large Class
org.jboss.xb.binding.sunday.unmarshalling,TypeBinding,1,5.818182,64,372.36365,63,1,10,Extender,PureSpecializer,Large Class
org.jboss.dom4j.dom,DOMAttribute,5,2.368421,27,63.94737,26,1,56,Extender,PureReplacer,Large Class
org.apache.log4j,AppenderSkeleton,1,1.7272727,19,32.818184,18,1,10,Extender,PureReplacer,Large Class
org.jboss.system.server.jmx,LazyMBeanServer,1,3.2727273,36,117.818184,36,0,11,PureExtender,NoOvr,Large Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedInt,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Large Class
org.jboss.util.threadpool,BasicThreadPool,1,3.090909,34,105.090904,33,1,10,Extender,PureReplacer,Large Class
org.apache.commons.httpclient,HttpClient,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Large Class
EDU.oswego.cs.dl.util.concurrent,ConcurrentHashMap,2,1.826087,21,38.347828,8,13,10,Overrider,Replacer,Large Class
org.jboss.mx.loading,RepositoryClassLoader,4,3.7333333,42,156.8,31,11,34,Extender,Specializer,Large Class
org.jboss.mx.loading,LoaderRepository,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Large Class
org.jboss.deployment,SimpleSubDeployerSupport,4,1.4603175,23,33.587303,16,7,56,Extender,Specializer,Large Class
EDU.oswego.cs.dl.util.concurrent,SyncMap,1,1.7272727,19,32.818184,17,2,9,Extender,PureReplacer,Large Class
org.jboss.system,ORBSingleton,3,1.8,42,75.6,0,42,28,PureOverrider,Specializer,Large Class
org.jboss.mx.server,AbstractMBeanInvoker,1,3.909091,43,168.09091,43,0,11,PureExtender,NoOvr,Large Class
EDU.oswego.cs.dl.util.concurrent,FJTaskRunnerGroup,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr,Large Class
EDU.oswego.cs.dl.util.concurrent,WaitableLong,3,1.7419355,18,31.35484,6,12,19,Overrider,Specializer,Large Class
org.apache.commons.httpclient,URI,1,8.090909,89,720.0909,85,4,7,Extender,PureReplacer,Large Class
org.jboss.mx.server,InvocationContext,1,2.7272727,30,81.818184,29,1,10,Extender,PureReplacer,Large Class
org.jboss.dom4j.io,SAXModifyContentHandler,3,1.03125,22,22.6875,2,20,44,Overrider,PureSpecializer,Large Class
org.jboss.dom4j.tree,DefaultElement,4,1.0588236,45,47.64706,6,39,131,Overrider,Replacer,Large Class
org.jboss.dom4j.tree,AbstractElement,3,4.35,116,504.59998,90,26,54,Extender,Replacer,Large Class
org.jboss.dom4j.dom,DOMProcessingInstruction,5,2.4107144,27,65.08929,27,0,56,PureExtender,NoOvr,Large Class
org.apache.commons.httpclient,Cookie,2,3.2,24,76.8,21,3,12,Extender,PureReplacer,Large Class
javax.management.monitor,CounterMonitor,3,1.4181818,26,36.872726,19,7,48,Extender,Specializer,Large Class
org.jboss.dom4j.tree,DefaultDocument,4,0.9892473,23,22.75269,13,10,83,Extender,Specializer,Large Class
org.jboss.xb.binding.sunday.unmarshalling,AttributeBinding,1,2.0,22,44.0,21,1,10,Extender,PureSpecializer,Large Class
org.jboss.dom4j.dom,DOMCDATA,6,4.375,35,153.125,35,0,48,PureExtender,NoOvr,Large Class
org.jboss.dom4j.io,XPPReader,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Large Class
org.jboss.dom4j.tree,ContentListFacade,3,1.7142856,20,34.285713,2,18,17,Overrider,Replacer,Large Class
org.jboss.xb.binding.sunday.unmarshalling,TermBinding,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Large Class
org.jboss.dom4j.dom,DOMText,6,4.375,35,153.125,35,0,48,PureExtender,NoOvr,Large Class
org.jboss.deployment,MainDeployer,3,2.5333333,38,96.26666,36,2,43,Extender,PureReplacer,Large Class
org.jboss.dom4j.io,SAXContentHandler,2,3.5714285,50,178.57143,36,14,14,Extender,PureReplacer,Large Class
javax.management.modelmbean,RequiredModelMBean,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Large Class
org.jboss.dom4j.datatype,DatatypeAttribute,3,0.98181814,18,17.672726,10,8,47,Extender,PureReplacer,Large Class
org.apache.commons.httpclient.methods,EntityEnclosingMethod,3,0.5533981,19,10.514564,12,7,96,Extender,Specializer,Large Class
org.jboss.dom4j.tree,ConcurrentReaderHashMap,2,2.173913,25,54.347824,12,13,10,Overrider,Replacer,Large Class
org.jboss.dom4j.io,SAXReader,1,4.3636365,48,209.45456,48,0,11,PureExtender,NoOvr,Large Class
EDU.oswego.cs.dl.util.concurrent,PooledExecutor,2,4.3076925,28,120.61539,28,0,13,PureExtender,NoOvr,Large Class
org.jboss.xb.binding.sunday.unmarshalling,WildcardBinding,2,1.1282052,22,24.820515,18,4,35,Extender,PureSpecializer,Large Class
org.apache.commons.httpclient,MultiThreadedHttpConnectionManager$HttpConnectionAdapter,2,1.5555556,56,87.111115,2,54,18,Overrider,PureReplacer,Large Class
org.jboss.xb.binding,UnmarshallerImpl,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr,Large Class
